rank,region,members,n_strains,axes,n_axes,n_universal_members,diversity_mean,effect_mean,culturability_mean,composite
145,西欧,Bacteroides_salyersiae; Barnesiella_intestinihominis; Odoribacter_splanchnicus,3,propionate+mucin,2,1,0.298,0.182,0.85,0.6997
146,西欧,Barnesiella_intestinihominis; Alistipes_putredinis; Butyrivibrio_crossotus,3,propionate+butyrate+mucin,3,1,0.26,0.277,0.8,0.6995
147,西欧,Bacteroides_intestinalis; Odoribacter_splanchnicus; Alistipes_putredinis; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.252,0.221,0.86,0.6995
148,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_eligens; Akkermansia_muciniphila,5,propionate+mucin,2,1,0.291,0.274,0.88,0.6995
149,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_eligens; Akkermansia_muciniphila,4,propionate+mucin,2,1,0.317,0.248,0.863,0.6994
150,西欧,Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Barnesiella_intestinihominis; Alistipes_putredinis; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.267,0.27,0.9,0.6993
151,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Alistipes_putredinis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,1,0.291,0.202,0.79,0.6992
152,西欧,Bacteroides_intestinalis; Odoribacter_splanchnicus; Alistipes_putredinis,3,propionate+mucin,2,1,0.287,0.202,0.85,0.699
153,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Intestinimonas_butyriciproducens; Eubacterium_siraeum,5,propionate+butyrate+mucin,3,1,0.299,0.227,0.8,0.6988
154,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_indistinctus; Alistipes_putredinis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,1,0.262,0.25,0.82,0.6983
155,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Eubacterium_eligens; Akkermansia_muciniphila,4,propionate+mucin,2,1,0.28,0.308,0.9,0.6983
156,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Barnesiella_intestinihominis; Akkermansia_muciniphila,4,propionate+mucin,2,1,0.253,0.299,0.925,0.6982
157,西欧,Barnesiella_intestinihominis; Alistipes_indistinctus; Alistipes_putredinis; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.267,0.236,0.83,0.6978
158,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_putredinis; Intestinimonas_butyriciproducens; Eubacterium_siraeum,5,propionate+butyrate+mucin,3,1,0.27,0.275,0.83,0.6978
159,西欧,Bacteroides_intestinalis; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Butyrivibrio_crossotus; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,3,0.233,0.251,0.87,0.6977
160,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,4,propionate+butyrate+mucin,3,1,0.241,0.256,0.875,0.6976
161,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0,0.272,0.207,0.825,0.6976
162,西欧,Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Barnesiella_intestinihominis; Alistipes_putredinis,4,propionate+mucin,2,1,0.274,0.268,0.875,0.6975
163,西欧,Barnesiella_intestinihominis; Alistipes_putredinis; Intestinimonas_butyriciproducens; Eubacterium_siraeum; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.275,0.262,0.84,0.6974
164,西欧,Bacteroides_salyersiae; Barnesiella_intestinihominis; Akkermansia_muciniphila,3,propionate+mucin,2,2,0.258,0.239,0.917,0.6974
165,西欧,Bacteroides_salyersiae; Odoribacter_splanchnicus; Alistipes_putredinis; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.253,0.213,0.86,0.6974
166,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens,4,propionate+mucin,2,0,0.304,0.27,0.85,0.6969
167,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Odoribacter_splanchnicus; Alistipes_putredinis,4,propionate+mucin,2,0,0.276,0.262,0.875,0.6968
168,西欧,Bacteroides_intestinalis; Alistipes_putredinis; Akkermansia_muciniphila,3,propionate+mucin,2,2,0.247,0.259,0.917,0.6967
169,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens; Eubacterium_eligens,5,propionate+butyrate+mucin,3,0,0.282,0.249,0.83,0.6967
170,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0,0.259,0.242,0.85,0.6966
171,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Alistipes_indistinctus; Akkermansia_muciniphila,4,propionate+mucin,2,2,0.249,0.262,0.887,0.6965
172,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus,4,propionate+mucin,2,1,0.28,0.212,0.837,0.6965
173,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_siraeum; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.283,0.28,0.88,0.6963
174,西欧,Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens; Akkermansia_muciniphila,4,propionate+mucin,2,1,0.31,0.253,0.863,0.6963
175,西欧,Barnesiella_intestinihominis; Alistipes_indistinctus; Alistipes_putredinis,3,propionate+mucin,2,1,0.311,0.227,0.8,0.6962
176,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens; Eubacterium_eligens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,1,0.287,0.235,0.84,0.6962
177,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,4,propionate+butyrate+mucin,3,1,0.242,0.25,0.875,0.6958
178,西欧,Bacteroides_salyersiae; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Butyrivibrio_crossotus; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,3,0.235,0.243,0.87,0.6956
179,西欧,Bacteroides_salyersiae; Odoribacter_splanchnicus; Alistipes_putredinis,3,propionate+mucin,2,1,0.289,0.189,0.85,0.6955
180,西欧,Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_siraeum,3,propionate+mucin,2,1,0.325,0.269,0.817,0.6955
181,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Intestinimonas_butyriciproducens; Eubacterium_eligens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,1,0.257,0.283,0.87,0.6953
182,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_eligens,4,propionate+mucin,2,0,0.305,0.264,0.85,0.6952
183,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Barnesiella_intestinihominis; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,1,0.235,0.276,0.89,0.6952
184,西欧,Bacteroides_intestinalis; Odoribacter_splanchnicus; Alistipes_putredinis; Butyrivibrio_crossotus; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,3,0.228,0.255,0.87,0.6952
185,西欧,Bacteroides_intestinalis; Barnesiella_intestinihominis; Alistipes_putredinis; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,1,0.263,0.219,0.825,0.6952
186,西欧,Bacteroides_cellulosilyticus; Alistipes_putredinis; Eubacterium_eligens; Akkermansia_muciniphila,4,propionate+mucin,2,1,0.274,0.313,0.9,0.6952
187,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Alistipes_putredinis; Akkermansia_muciniphila,4,propionate+mucin,2,1,0.246,0.304,0.925,0.695
188,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Alistipes_putredinis; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,2,0.267,0.236,0.8,0.6949
189,西欧,Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Barnesiella_intestinihominis; Alistipes_putredinis,4,propionate+mucin,2,1,0.276,0.258,0.875,0.6949
190,西欧,Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Barnesiella_intestinihominis; Alistipes_putredinis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,1,0.252,0.252,0.85,0.6947
191,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Alistipes_indistinctus; Akkermansia_muciniphila,4,propionate+mucin,2,2,0.25,0.255,0.887,0.6947
192,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Butyrivibrio_crossotus; Eubacterium_siraeum,5,propionate+butyrate+mucin,3,2,0.275,0.261,0.81,0.6945
193,西欧,Bacteroides_dorei; Odoribacter_splanchnicus; Alistipes_putredinis; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0,0.265,0.212,0.825,0.6945
194,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Alistipes_indistinctus; Alistipes_putredinis; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.27,0.259,0.87,0.6942
195,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Alistipes_putredinis; Intestinimonas_butyriciproducens; Eubacterium_eligens,5,propionate+butyrate+mucin,3,0,0.276,0.253,0.83,0.6942
196,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Alistipes_putredinis,5,propionate+mucin,2,1,0.295,0.22,0.83,0.6942
197,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Odoribacter_splanchnicus; Alistipes_putredinis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0,0.254,0.246,0.85,0.6941
198,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_indistinctus; Alistipes_putredinis; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,2,0.238,0.284,0.83,0.694
199,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Alistipes_indistinctus; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.232,0.246,0.86,0.6939
200,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Parabacteroides_goldsteinii,5,propionate+mucin,2,1,0.267,0.229,0.85,0.6939
201,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,1,0.257,0.207,0.82,0.6939
202,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_siraeum,5,propionate+mucin,2,1,0.303,0.245,0.84,0.6938
203,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_siraeum; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.278,0.284,0.88,0.6938
204,西欧,Odoribacter_splanchnicus; Alistipes_putredinis; Intestinimonas_butyriciproducens; Eubacterium_eligens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,1,0.281,0.239,0.84,0.6938
205,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_eligens,3,propionate+mucin,2,0,0.344,0.226,0.817,0.6936
206,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_putredinis; Butyrivibrio_crossotus; Eubacterium_siraeum,5,propionate+butyrate+mucin,3,2,0.246,0.309,0.84,0.6936
207,西欧,Barnesiella_intestinihominis; Alistipes_indistinctus; Alistipes_putredinis; Butyrivibrio_crossotus; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,3,0.243,0.27,0.84,0.6935
208,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Parabacteroides_goldsteinii; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.272,0.215,0.86,0.6934
209,西欧,Bacteroides_salyersiae; Alistipes_putredinis; Akkermansia_muciniphila,3,propionate+mucin,2,2,0.249,0.246,0.917,0.6932
210,西欧,Bacteroides_salyersiae; Odoribacter_splanchnicus; Alistipes_putredinis; Butyrivibrio_crossotus; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,3,0.229,0.247,0.87,0.6931
211,西欧,Barnesiella_intestinihominis; Alistipes_putredinis; Butyrivibrio_crossotus; Eubacterium_siraeum; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,3,0.251,0.296,0.85,0.6931
212,西欧,Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.266,0.257,0.9,0.6931
213,西欧,Bacteroides_cellulosilyticus; Alistipes_putredinis; Intestinimonas_butyriciproducens; Eubacterium_eligens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,1,0.252,0.287,0.87,0.6928
214,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Alistipes_indistinctus; Alistipes_putredinis; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.271,0.254,0.87,0.6928
215,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens,3,propionate+butyrate+mucin,3,0,0.3,0.185,0.783,0.6928
216,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Alistipes_putredinis; Intestinimonas_butyriciproducens; Eubacterium_eligens,5,propionate+butyrate+mucin,3,0,0.277,0.248,0.83,0.6928
217,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Alistipes_putredinis; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,1,0.23,0.281,0.89,0.6927
218,西欧,Bacteroides_dorei; Alistipes_putredinis; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,4,propionate+butyrate+mucin,3,1,0.235,0.255,0.875,0.6927
219,西欧,Bacteroides_salyersiae; Barnesiella_intestinihominis; Alistipes_putredinis; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,1,0.265,0.209,0.825,0.6926
220,西欧,Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Barnesiella_intestinihominis; Alistipes_putredinis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,1,0.254,0.244,0.85,0.6926
221,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Alistipes_indistinctus; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.233,0.241,0.86,0.6925
222,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_putredinis; Parabacteroides_goldsteinii; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.243,0.263,0.89,0.6925
223,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_eligens; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,1,0.258,0.283,0.84,0.6924
224,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_siraeum; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.279,0.279,0.88,0.6924
225,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,1,0.236,0.276,0.86,0.6923
226,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Butyrivibrio_crossotus; Akkermansia_muciniphila,4,propionate+butyrate+mucin,3,2,0.211,0.299,0.887,0.6922
227,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,1,0.242,0.25,0.837,0.6922
228,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Eubacterium_eligens,3,propionate+mucin,2,0,0.296,0.305,0.867,0.6921
229,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_eligens; Butyrivibrio_crossotus; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.263,0.269,0.85,0.692
230,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Barnesiella_intestinihominis,3,propionate+mucin,2,0,0.259,0.294,0.9,0.6919
231,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_eligens; Akkermansia_muciniphila,5,propionate+mucin,2,1,0.291,0.253,0.88,0.6913
232,西欧,Barnesiella_intestinihominis; Eubacterium_eligens; Akkermansia_muciniphila,3,propionate+mucin,2,1,0.304,0.283,0.883,0.6913
233,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Intestinimonas_butyriciproducens,3,propionate+butyrate+mucin,3,0,0.252,0.265,0.833,0.6913
234,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Eubacterium_eligens; Butyrivibrio_crossotus; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.234,0.317,0.88,0.6911
235,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_siraeum,4,propionate+mucin,2,1,0.296,0.271,0.85,0.6911
236,西欧,Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.267,0.249,0.9,0.6911
237,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Barnesiella_intestinihominis; Butyrivibrio_crossotus; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.211,0.31,0.9,0.6909
238,西欧,Bacteroides_intestinalis; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens,5,propionate+mucin,2,1,0.308,0.228,0.84,0.6908
239,西欧,Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.261,0.261,0.9,0.6906
240,西欧,Bacteroides_dorei; Bacteroides_intestinalis; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis,5,propionate+mucin,2,1,0.286,0.221,0.86,0.6906
241,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_siraeum; Akkermansia_muciniphila,4,propionate+mucin,2,2,0.302,0.255,0.863,0.6905
242,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Butyrivibrio_crossotus; Akkermansia_muciniphila,4,propionate+butyrate+mucin,3,2,0.212,0.293,0.887,0.6905
243,西欧,Barnesiella_intestinihominis; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,3,propionate+butyrate+mucin,3,1,0.26,0.242,0.85,0.6905
244,西欧,Bacteroides_intestinalis; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Akkermansia_muciniphila,5,propionate+mucin,2,3,0.264,0.221,0.87,0.6904
245,西欧,Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Barnesiella_intestinihominis; Alistipes_putredinis; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,2,0.228,0.286,0.86,0.6904
246,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,1,0.252,0.287,0.84,0.69
247,西欧,Bacteroides_intestinalis; Barnesiella_intestinihominis; Alistipes_putredinis; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,2,0.233,0.262,0.837,0.6899
248,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Odoribacter_splanchnicus; Alistipes_putredinis; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,1,0.23,0.28,0.86,0.6898
249,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens; Eubacterium_siraeum,5,propionate+butyrate+mucin,3,1,0.27,0.254,0.83,0.6896
250,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,2,0.233,0.241,0.83,0.6896
251,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Alistipes_indistinctus; Butyrivibrio_crossotus; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,3,0.208,0.28,0.87,0.6896
252,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Alistipes_indistinctus,3,propionate+mucin,2,1,0.254,0.244,0.85,0.6896
253,西欧,Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens; Butyrivibrio_crossotus; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.257,0.273,0.85,0.6895
254,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Eubacterium_siraeum; Akkermansia_muciniphila,4,propionate+mucin,2,2,0.266,0.314,0.9,0.6894
255,西欧,Bacteroides_intestinalis; Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_eligens; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.284,0.262,0.88,0.6894
256,西欧,Bacteroides_dorei; Bacteroides_intestinalis; Barnesiella_intestinihominis; Alistipes_putredinis; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.262,0.256,0.9,0.6893
257,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,1,0.275,0.191,0.788,0.6893
258,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens; Eubacterium_siraeum; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.275,0.241,0.84,0.6891
